Group size: 16616                                                  Group size: 17681                                                  Group size: 18817                                                  Group size: 28577
[0.162322] Лоскутов Артем Александрович                            [0.003167] Кац Максим Евгеньевич                                   [0.020053] Радченко Всеволод Валерьевич                            [0.089023] Пушкарева Наталья Александровна
[0.162315] Галямина Юлия Евгеньевна                                [0.003003] Соболь Любовь Эдуардовна                                [0.019319] Медведев Кирилл Феликсович                              [0.088235] Шалимов Роман Николаевич
[0.159438] Колюцкий Григорий Аркадьевич                            [0.002983] Лурье Олег Анатольевич                                  [0.019062] Дегтярь Иван Васильевич                                 [0.085374] Тюрин Андрей Владимирович
[0.157678] Лебедев Константин Владимирович                         [0.002659] Будникова Софья Владимировна                            [0.017902] Яшин (Ясин) Игорь Геннадьевич                           [0.083567] Будрайтскис Илья Борисович
[0.155594] Дергачев Вадим Александрович                            [0.002560] Андреянов Сергей Николаевич                             [0.017530] Александрова-Зорина Елизавета Борисовна                 [0.074985] Чернышева Наталья Юрьевна
[0.155032] Ляскин Николай Николаевич                               [0.002525] Радостева Наталья Евгеньевна                            [0.017402] Василенко Павел Владимирович                            [0.074728] Образцова Алиса Сергеевна
[0.154925] Козырев Олег Вилисович                                  [0.002435] Колганов Антон Юрьевич                                  [0.016923] Холмогорова Наталия Леонидовна                          [0.074694] Быстров Андрей Сергеевич
[0.152337] Быстров Андрей Сергеевич                                [0.002385] Гаврилов Андрей Игоревич                                [0.016591] Лавров Андрей Валерьевич                                [0.074186] Гребнева Ирина Георгиевна
[0.151897] Пушкарева Наталья Александровна                         [0.002375] Стариков Иван Валентинович                              [0.016503] Гонгальский Максим Брониславович                        [0.073542] Безруких Олег Анатольевич
[0.151226] Медведев Кирилл Феликсович                              [0.002355] Холмогорова Наталия Леонидовна                          [0.016445] Спорыхина Ульяна Викторовна                             [0.068456] Беззуб Алексей Юрьевич
[0.151225] Палчаев Аким Нажмудинович                               [0.002258] Кузин Евгений Андреевич                                 [0.016274] Власов Сергей Игоревич                                  [0.068456] Горник Александр Львович
[0.150356] Русакова Елена Леонидовна                               [0.002244] Семенов Владимир Матвеевич                              [0.015670] Шаргунов Сергей Александрович                           [0.065839] Левшиц Николай Дмитриевич
[0.149811] Доброхотов Роман Александрович                          [0.002149] Баласанов Андрей Евгеньевич                             [0.015605] Пряников Павел Николаевич                               [0.062396] Резчиков (Абанин) Алексей Романович
