Group size: 13106                                                  Group size: 14154                                                  Group size: 16452                                                  Group size: 17632                                                  Group size: 20347
[0.196231] Бондарик Николай Николаевич                             [0.021769] Романова Ольга Евгеньевна                               [0.054319] Развозжаев Леонид Михайлович                            [0.004688] Волкова Александра Ивановна (Женя Отто)                 [0.175406] Отставных Валерий Владимирович
[0.192717] Волкова Елена Ивановна                                  [0.021682] Радченко Всеволод Валерьевич                            [0.054092] Беззуб Алексей Юрьевич                                  [0.004652] Александрова-Зорина Елизавета Борисовна                 [0.168372] Гонгальский Максим Брониславович
[0.191500] Беззуб Алексей Юрьевич                                  [0.021356] Лавров Андрей Валерьевич                                [0.053460] Образцова Алиса Сергеевна                               [0.004542] Адагамов Рустем Ринатович                               [0.164376] Медведев Кирилл Феликсович
[0.191423] Холмогорова Наталия Леонидовна                          [0.020327] Лебедев Константин Владимирович                         [0.051369] Чернышева Наталья Юрьевна                               [0.004366] Сухоруков Дмитрий Владимирович                          [0.164179] Демушкин Дмитрий Николаевич
[0.191278] Николаев Александр Александрович                        [0.020303] Спорыхина Ульяна Викторовна                             [0.051359] Шнейдер Михаил Яковлевич                                [0.004320] Зорин Константин Игоревич                               [0.164081] Поткин (Белов) Александр Анатольевич
[0.191035] Отставных Валерий Владимирович                          [0.019730] Пионтковский Андрей Андреевич                           [0.051012] Аитова Екатерина Петровна                               [0.004304] Витухновская Алина Александровна                        [0.160001] Тюрин Андрей Владимирович
[0.187270] Бакиров Игорь Вакильевич                                [0.019519] Кавказский Николай Юрьевич                              [0.049874] Дергачев Вадим Александрович                            [0.004234] Аншаков Михаил Геннадьевич                              [0.158225] Шалимов Роман Николаевич
[0.185744] Кавказский Николай Юрьевич                              [0.019237] Винокуров Александр Иванович                            [0.049502] Волкова Александра Ивановна (Женя Отто)                 [0.004208] Магкоева Белла (Изабель) Казбековна                     [0.156931] Гуляев Сергей Владимирович
[0.185181] Безруких Олег Анатольевич                               [0.018798] Наганов Владислав Игоревич                              [0.048724] Гребнева Ирина Георгиевна                               [0.003746] Крылов Олег Анатольевич                                 [0.150906] Русакова Елена Леонидовна
[0.184662] Билунов Денис Борисович                                 [0.018149] Александрова-Зорина Елизавета Борисовна                 [0.048617] Билунов Денис Борисович                                 [0.003575] Шаргунов Сергей Александрович                           [0.148243] Богомолов Юрий Александрович
[0.182982] Гуляев Сергей Владимирович                              [0.017407] Баронова Мария Николаевна                               [0.048519] Яшин (Ясин) Игорь Геннадьевич                           [0.003513] Шеин Олег Васильевич                                    [0.146188] Магкоева Белла (Изабель) Казбековна
[0.182678] Матвеев Михаил Николаевич                               [0.017076] Холмогорова Наталия Леонидовна                          [0.048456] Колюцкий Григорий Аркадьевич                            [0.003463] Шалимов Роман Николаевич                                [0.142820] Будрайтскис Илья Борисович
[0.180302] Мирзоев Владимир Владимирович                           [0.017000] Медведев Кирилл Феликсович                              [0.046355] Лазуренко (Северский) Артем Сергеевич                   [0.003406] Баронова Мария Николаевна                               [0.141430] Митюшкина Надежда Львовна
[0.175548] Сангаев Игорь Вячеславович                              [0.016647] Аншаков Михаил Геннадьевич                              [0.045604] Гаскаров Алексей Владимирович                           [0.003405] Бабченко Аркадий Аркадьевич                             [0.139394] Стариков Иван Валентинович
[0.171969] Лукьянова Елена Анатольевна                             [0.016292] Сухарева Татьяна Викторовна                             [0.045432] Гуляев Сергей Владимирович                              [0.003248] Петречук Лариса Леонидовна                              [0.139104] Янкаускас Константин Стасисович
[0.171533] Колюцкий Григорий Аркадьевич                            [0.015745] Крюков Василий Анатольевич                              [0.045374] Волкова Елена Ивановна                                  [0.003176] Санников Максим Андреевич                               [0.131643] Лоскутов Артем Александрович
[0.170697] Поткин (Белов) Александр Анатольевич                    [0.015535] Пряников Павел Николаевич                               [0.044674] Демушкин Дмитрий Николаевич                             [0.003174] Гонгальский Максим Брониславович                        [0.129410] Дергачев Вадим Александрович
[0.170046] Удальцова Анастасия Олеговна                            [0.015215] Колесников Вадим Владимирович                           [0.042326] Стариков Иван Валентинович                              [0.003129] Удальцов Сергей Станиславович                           [0.128439] Верзилов Петр Юрьевич
[0.168959] Печенев Александр Сергеевич                             [0.015179] Левченко Екатерина Валентиновна                         [0.040755] Безруких Олег Анатольевич                               [0.003128] Кац Максим Евгеньевич                                   [0.126028] Вистицкий Михаил Михайлович
[0.164328] Лоскутов Артем Александрович                            [0.015065] Пономарев Илья Владимирович                             [0.040652] Санников Максим Андреевич                               [0.002990] Соболь Любовь Эдуардовна                                [0.125503] Резчиков (Абанин) Алексей Романович
[0.157756] Бескоровайный Алексей Викторович                        [0.014673] Магкоева Белла (Изабель) Казбековна                     [0.039992] Быстров Андрей Сергеевич                                [0.002951] Лурье Олег Анатольевич                                  [0.122075] Галямина Юлия Евгеньевна
[0.157663] Пушкарева Наталья Александровна                         [0.014579] Воробьев Станислав Анатольевич                          [0.037595] Осенин Владимир Олегович                                [0.002663] Будникова Софья Владимировна                            [0.118999] Радченко Всеволод Валерьевич
[0.154694] Аверьянов Иван Александрович                            [0.014537] Поляков Анатолий Викторович                             [0.036170] Левшиц Николай Дмитриевич                               [0.002498] Андреянов Сергей Николаевич                             [0.116165] Некрасов Дмитрий Александрович
[0.154485] Галямина Юлия Евгеньевна                                [0.014534] Студенова (Пелевина) Наталья Владиславовна              [0.036115] Кавказский Николай Юрьевич                              [0.002442] Радостева Наталья Евгеньевна                            [0.111750] Печенев Александр Сергеевич
[0.153669] Гребнева Ирина Георгиевна                               [0.014422] Колчинцев Вадим Валерьевич                              [0.036105] Кралин Владлен Леонидович (Владимир Тор)                [0.002382] Гаврилов Андрей Игоревич                                [0.109439] Артёмов Игорь Владимирович
[0.152806] Лазуренко (Северский) Артем Сергеевич                   [0.014366] Печенев Александр Сергеевич                             [0.035299] Богомолов Юрий Александрович                            [0.002367] Колганов Антон Юрьевич                                  [0.104326] Безруких Олег Анатольевич
