Group size: 17730                                                  Group size: 20940                                                  Group size: 43021
[0.000902] Головин Дмитрий Александрович                           [0.005151] Терегулов Артур Ринатович                               [0.024613] Шулипа Юрий Юрьевич
[0.000846] Крашенинников Федор Геннадиевич                         [0.005059] Моша Юрий Игоревич                                      [0.024372] Стефанов Борис Александрович
[0.000846] Янкаускас Константин Стасисович                         [0.005008] Доможиров Евгений Валерьевич                            [0.024296] Прибыловский Владимир Валерианович
[0.000845] Жиляев Арсений Александрович                            [0.004753] Гарначук Владимир Федорович                             [0.023945] Шалимова Надежда Валерьевна
[0.000845] Иванов Андрей Геннадьевич                               [0.004391] Щербаков Александр Вениаминович                         [0.023790] Самсонов Артём Анатольевич
[0.000734] Прибыловский Владимир Валерианович                      [0.004353] Ренёв Денис Владимирович                                [0.022647] Сухоруков Дмитрий Владимирович
[0.000733] Богомолов Юрий Александрович                            [0.004294] Семенов Игорь Вячеславович                              [0.021970] Воробьев Станислав Анатольевич
[0.000692] Матвеев Михаил Николаевич                               [0.004257] Шулипа Юрий Юрьевич                                     [0.021440] Марянин Игорь Сергеевич
[0.000677] Наганов Владислав Игоревич                              [0.004054] Иванов Андрей Геннадьевич                               [0.021280] Павлов Владимир Георгиевич
[0.000676] Гуляев Сергей Владимирович                              [0.003913] Кузин Евгений Андреевич                                 [0.021108] Гаврилов Андрей Игоревич
[0.000675] Езеев Федор Андреевич                                   [0.003828] Стефанов Борис Александрович                            [0.021020] Агишев Ирек Абдулхакович
[0.000671] Осенин Владимир Олегович                                [0.003772] Блиндул Алексей Валерьевич                              [0.020863] Колганов Антон Юрьевич
[0.000564] Билунов Денис Борисович                                 [0.003679] Павлов Владимир Георгиевич                              [0.020734] Глускин Владимир Александрович
[0.000564] Шнейдер Михаил Яковлевич                                [0.003675] Гаврилов Андрей Игоревич                                [0.020201] Сухарева Татьяна Викторовна
[0.000506] Каржаева Неонила Васильевна                             [0.003658] Первушин Александр Сергеевич                            [0.019589] Малышев Владимир Эдуардович
[0.000450] Гарначук Владимир Федорович                             [0.003571] Мыльникова Марина Сергеевна                             [0.017587] Демидов Михаил Александрович
[0.000445] Мицкевич Владислав Рудольфович                          [0.003478] Эсауленко Дмитрий Николаевич                            [0.017439] Давыденко Денис Вячеславович
[0.000395] Чупров Алексей Геннадьевич                              [0.003328] Романовский Владимир Геннадьевич                        [0.017408] Крылов Олег Анатольевич
[0.000339] Доможиров Евгений Валерьевич                            [0.003145] Ободина Стелла Юрьевна                                  [0.016263] Василенко Павел Владимирович
[0.000338] Панибратченко Андрей Валерьевич                         [0.003123] Самсонов Артём Анатольевич                              [0.015791] Чупров Алексей Геннадьевич
[0.000337] Ободина Стелла Юрьевна                                  [0.003108] Крылов Олег Анатольевич                                 [0.015738] Прохоров (Шинфейн) Максим Геннадьевич
[0.000283] Бескоровайный Алексей Викторович                        [0.003092] Прибыловский Владимир Валерианович                      [0.015195] Мыльникова Марина Сергеевна
[0.000256] Надеев Анджей Рашидович                                 [0.002825] Малышев Владимир Эдуардович                             [0.013241] Каржаева Неонила Васильевна
[0.000226] Митюшкина Надежда Львовна                               [0.002716] Мокшанов Александр Александрович                        [0.013077] Романовский Владимир Геннадьевич
[0.000226] Ляскин Николай Николаевич                               [0.002321] Марянин Игорь Сергеевич                                 [0.012264] Мицкевич Владислав Рудольфович
[0.000220] Мокшанов Александр Александрович                        [0.002086] Чупров Алексей Геннадьевич                              [0.011919] Савостин Михаил Олегович
[0.000169] Блиндул Алексей Валерьевич                              [0.001893] Панибратченко Андрей Валерьевич                         [0.011627] Шатов Станислав Николаевич
[0.000169] Некрасов Дмитрий Александрович                          [0.001548] Каржаева Неонила Васильевна                             [0.008795] Панибратченко Андрей Валерьевич
[0.000113] Косякин Константин Юрьевич                              [0.001513] Савостин Михаил Олегович                                [0.006958] Городенцев Андрей Геннадьевич
