Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.021598] Городенцев Андрей Геннадьевич                           [0.223018] Радченко Всеволод Валерьевич                            [0.056871] Магкоева Белла (Изабель) Казбековна                     [0.281075] Пономарев Илья Владимирович                             [0.201227] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.017196] Шац Михаил Григорьевич
[0.020896] Радченко Всеволод Валерьевич                            [0.219285] Залесский Александр Валерьевич                          [0.055754] Развозжаев Леонид Михайлович                            [0.279743] Шелков Павел Николаевич                                 [0.198346] Коровин Вадим Александрович                             [0.017026] Резчиков (Абанин) Алексей Романович
[0.020420] Ашурков Владимир Львович                                [0.217697] Кац Максим Евгеньевич                                   [0.055398] Пушкарева Наталья Александровна                         [0.278750] Дровецкий Василий Валерьевич                            [0.185507] Русакова Елена Леонидовна                               [0.016594] Колесников Вадим Владимирович
[0.020203] Александрова-Зорина Елизавета Борисовна                 [0.217203] Пархоменко Сергей Борисович                             [0.054734] Шальнев Андрей Сергеевич                                [0.274368] Крашенинников Федор Геннадиевич                         [0.183877] Шнейдер Михаил Яковлевич                                [0.015854] Лазарева Татьяна Юрьевна
[0.019840] Лазарева Татьяна Юрьевна                                [0.216488] Адагамов Рустем Ринатович                               [0.053985] Гаскаров Алексей Владимирович                           [0.271090] Езеев Федор Андреевич                                   [0.180730] Билунов Денис Борисович                                 [0.014578] Радченко Всеволод Валерьевич
[0.019710] Крюков Василий Анатольевич                              [0.216158] Развозжаев Леонид Михайлович                            [0.053399] Шелков Павел Николаевич                                 [0.263999] Демушкин Дмитрий Николаевич                             [0.169135] Лукьянова Елена Анатольевна                             [0.013159] Васильева Елена Борисовна
[0.019382] Сахнин Алексей Викторович                               [0.211090] Холмогорова Наталия Леонидовна                          [0.050211] Крашенинников Федор Геннадиевич                         [0.263248] Коровин Вадим Александрович                             [0.148202] Отставных Валерий Владимирович                          [0.012954] Собчак Ксения Анатольевна
[0.019374] Курамшин Владимир Вячеславович                          [0.209837] Чернышева Наталья Юрьевна                               [0.049535] Лоскутов Артем Александрович                            [0.258269] Ляскин Николай Николаевич                               [0.139741] Залесский Александр Валерьевич                          [0.011282] Дровецкий Василий Валерьевич
[0.019171] Студенова (Пелевина) Наталья Владиславовна              [0.209140] Магкоева Белла (Изабель) Казбековна                     [0.046427] Верзилов Петр Юрьевич                                   [0.252035] Завесов Александр Львович                               [0.137921] Бакиров Игорь Вакильевич                                [0.009988] Быков Дмитрий Львович
[0.018801] Левченко Екатерина Валентиновна                         [0.207851] Горник Александр Львович                                [0.046261] Кралин Владлен Леонидович (Владимир Тор)                [0.250931] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.136222] Богомолов Юрий Александрович                            [0.007567] Кралин Владлен Леонидович (Владимир Тор)
[0.018648] Давыденко Денис Вячеславович                            [0.206555] Волкова Елена Ивановна                                  [0.045409] Санников Максим Андреевич                               [0.250451] Тюрин Андрей Владимирович                               [0.135608] Галямина Юлия Евгеньевна                                [0.006944] Воробьев Станислав Анатольевич
[0.018550] Колчинцев Вадим Валерьевич                              [0.204914] Бондарик Николай Николаевич                             [0.045280] Тютрин Иван Иванович                                    [0.248447] Поткин (Белов) Александр Анатольевич                    [0.131314] Лоскутов Артем Александрович                            [0.006139] Поткин (Белов) Александр Анатольевич
[0.018423] Поляков Анатолий Викторович                             [0.203360] Николаев Александр Александрович                        [0.044789] Константинов Даниил Ильич                               [0.247140] Доброхотов Роман Александрович                          [0.130394] Шальнев Андрей Сергеевич                                [0.005932] Пушкарева Наталья Александровна
[0.018186] Каспаров Гарри Кимович                                  [0.203221] Лурье Олег Анатольевич                                  [0.044327] Залесский Александр Валерьевич                          [0.244795] Лурье Олег Анатольевич                                  [0.123215] Янкаускас Константин Стасисович                         [0.005643] Каспаров Гарри Кимович
[0.017567] Пряников Павел Николаевич                               [0.202132] Будрайтскис Илья Борисович                              [0.042173] Шаргунов Сергей Александрович                           [0.243231] Ольшанский Леонид Дмитриевич                            [0.118387] Шелков Павел Николаевич                                 [0.005317] Печенев Александр Сергеевич
[0.017451] Санников Максим Андреевич                               [0.201896] Вистицкий Михаил Михайлович                             [0.040048] Колесников Сергей Владимирович                          [0.237857] Шалимов Роман Николаевич                                [0.115471] Митюшкина Надежда Львовна                               [0.005193] Чирикова Евгения Сергеевна
[0.017402] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.201502] Рыклин Александр Юрьевич                                [0.039130] Коровин Вадим Александрович                             [0.233167] Удальцова Анастасия Олеговна                            [0.115388] Стариков Иван Валентинович                              [0.005156] Винокуров Александр Иванович
[0.016856] Адагамов Рустем Ринатович                               [0.201477] Ольшанский Леонид Дмитриевич                            [0.038022] Яшин (Ясин) Игорь Геннадьевич                           [0.232680] Билунов Денис Борисович                                 [0.114437] Гуляев Сергей Владимирович                              [0.004999] Навальный Алексей Анатольевич
[0.016583] Кудрявцев Федор Александрович                           [0.201028] Крашенинников Федор Геннадиевич                         [0.037778] Гонгальский Максим Брониславович                        [0.230138] Шаргунов Сергей Александрович                           [0.111029] Пушкарева Наталья Александровна                         [0.004949] Чернов Дмитрий Валерьевич
[0.016521] Воробьев Станислав Анатольевич                          [0.197118] Сахнин Алексей Викторович                               [0.036389] Кавказский Николай Юрьевич                              [0.229615] Колесников Сергей Владимирович                          [0.110816] Гребнева Ирина Георгиевна                               [0.004833] Ольшанский Леонид Дмитриевич
[0.016426] Шац Михаил Григорьевич                                  [0.195934] Беззуб Алексей Юрьевич                                  [0.036038] Вистицкий Михаил Михайлович                             [0.214856] Лукьянова Елена Анатольевна                             [0.108671] Верзилов Петр Юрьевич                                   [0.004791] Иванов Дмитрий Сергеевич (kamikadze_d)
[0.016005] Колесников Вадим Владимирович                           [0.194889] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.032912] Козырев Олег Вилисович                                  [0.205122] Будрайтскис Илья Борисович                              [0.107104] Гаскаров Алексей Владимирович                           [0.004628] Волкова Александра Ивановна (Женя Отто)
[0.015772] Некрасов Дмитрий Александрович                          [0.192331] Кара-Мурза Владимир Владимирович                        [0.032119] Лебедев Константин Владимирович                         [0.203692] Резчиков (Абанин) Алексей Романович                     [0.106721] Развозжаев Леонид Михайлович                            [0.004564] Александрова-Зорина Елизавета Борисовна
[0.015148] Лебедев Константин Владимирович                         [0.191451] Отставных Валерий Владимирович                          [0.031831] Доброхотов Роман Александрович                          [0.194321] Медведев Кирилл Феликсович                              [0.105478] Удальцова Анастасия Олеговна                            [0.004500] Адагамов Рустем Ринатович
[0.014435] Кавказский Николай Юрьевич                              [0.190263] Безруких Олег Анатольевич                               [0.031580] Тюрин Андрей Владимирович                               [0.189743] Радченко Всеволод Валерьевич                            [0.100313] Магкоева Белла (Изабель) Казбековна                     [0.004322] Сухоруков Дмитрий Владимирович
[0.013844] Бабченко Аркадий Аркадьевич                             [0.190223] Матвеев Михаил Николаевич                               [0.031316] Отставных Валерий Владимирович                          [0.183422] Магкоева Белла (Изабель) Казбековна                     [0.097987] Быстров Андрей Сергеевич                                [0.004205] Магкоева Белла (Изабель) Казбековна
